company,category,hq,role_focus,role_url,priority,recruiter_name,recruiter_contact,engineer_name,engineer_linkedin,template_used,applied_date,status,follow_up_date,notes,last_contact
Wintermute,crypto_mm,"London, UK",Trading Systems Engineer,https://wintermute.com/careers,A,,,,,crypto_mm,,to_apply,,Top-tier crypto MM. Hires remote globally. Strong eng culture.,
GSR,crypto_mm,"London, UK",Quant Developer,https://gsr.io/careers,A,,,,,crypto_mm,,to_apply,,Crypto MM. Global remote.,
B2C2,crypto_mm,"London, UK",Software Engineer,https://b2c2.com/careers,A,,,,,crypto_mm,,to_apply,,Institutional crypto OTC.,
Cumberland DRW,crypto_mm,"Chicago / London",Trading Systems Engineer,https://cumberland.io/careers,A,,,,,crypto_mm,,to_apply,,DRW's crypto arm. Eng-heavy.,
Auros,crypto_mm,"Hong Kong",Software Engineer,https://auros.global/careers,A,,,,,crypto_mm,,to_apply,,APAC crypto MM. Remote-friendly.,
Flowdesk,crypto_mm,"Paris, France",Software Engineer,https://flowdesk.co/careers,A,,,,,crypto_mm,,to_apply,,French crypto MM — FR language is a bonus.,
Keyrock,crypto_mm,"Brussels, Belgium",Trading Systems Engineer,https://keyrock.com/careers,A,,,,,crypto_mm,,to_apply,,Belgian crypto MM. EU remote.,
Talos,crypto_mm,"New York, USA",Software Engineer,https://talos.com/careers,B,,,,,crypto_mm,,to_apply,,Institutional crypto infra. NY-based may complicate visa.,
Hyperliquid,crypto_mm,"Singapore",Software Engineer,https://hyperliquid.xyz/careers,A,,,,,crypto_mm,,to_apply,,You already use their data. Perfect fit. SG-based.,
dYdX,crypto_mm,"Remote (USA)",Software Engineer,https://dydx.foundation/careers,A,,,,,crypto_mm,,to_apply,,DEX protocol. Open-source culture. Remote-native.,
Vertex Protocol,crypto_mm,"Remote",Software Engineer,https://vertex.protocol/careers,A,,,,,crypto_mm,,to_apply,,DEX. Pays in USDC.,
Drift Protocol,crypto_mm,"Remote",Software Engineer,https://drift.trade/careers,A,,,,,crypto_mm,,to_apply,,Solana-based DEX. Remote-native.,
Hashflow,crypto_mm,"Remote",Software Engineer,https://hashflow.com/careers,B,,,,,crypto_mm,,to_apply,,DEX. Smaller team.,
Paradigm,crypto_mm,"Singapore / Remote",Trading Systems Engineer,https://paradigm.co/careers,A,,,,,crypto_mm,,to_apply,,Institutional crypto liquidity venue.,
Galaxy Digital,crypto_mm,"New York / Remote",Software Engineer,https://galaxy.com/careers,B,,,,,crypto_mm,,to_apply,,Larger crypto firm. Slower hiring.,
Genesis Trading,crypto_mm,"New York / Remote",Software Engineer,https://genesistrading.com/careers,C,,,,,crypto_mm,,to_apply,,Post-bankruptcy reorganization — uncertain.,
Amber Group,crypto_mm,"Singapore / Remote",Trading Engineer,https://ambergroup.io/careers,B,,,,,crypto_mm,,to_apply,,APAC crypto firm.,
Kronos Research,crypto_mm,"Taipei, Taiwan",Quant Developer,https://kronosresearch.com/careers,B,,,,,crypto_mm,,to_apply,,Taiwan-based prop. APAC hours.,
Tower Research Crypto,crypto_mm,"Remote",Software Engineer,https://tower-research.com/careers,B,,,,,crypto_mm,,to_apply,,Tower's crypto arm. High bar.,
MetaQuotes,broker_tech,"Limassol, Cyprus",Software Engineer,https://metaquotes.net/careers,A,,,,,broker_tech,,to_apply,,Maker of MT5 itself. You know their product cold.,
Spotware (cTrader),broker_tech,"Limassol, Cyprus",Software Engineer,https://spotware.com/careers,A,,,,,broker_tech,,to_apply,,cTrader platform. MT5 competitor — your MQL5 stack transfers.,
TradingView,broker_tech,"Remote",Software Engineer,https://tradingview.com/careers,A,,,,,broker_tech,,to_apply,,Remote-global. Pine Script + market data.,
Devexperts,broker_tech,"St Petersburg / Remote",Software Engineer,https://devexperts.com/careers,B,,,,,broker_tech,,to_apply,,Trading software vendor. Watch geopolitical situation.,
Match-Trade Technologies,broker_tech,"Wroclaw, Poland",Software Engineer,https://match-trade.com/careers,B,,,,,broker_tech,,to_apply,,Broker tech / MT4-5 plugins.,
Brokeree Solutions,broker_tech,"Hong Kong",MT5 Plugin Developer,https://brokeree.com/careers,A,,,,,broker_tech,,to_apply,,MT5 plugins specifically — direct fit.,
PrimeXM,broker_tech,"Limassol, Cyprus",Software Engineer,https://primexm.com/careers,B,,,,,broker_tech,,to_apply,,FX aggregation infra.,
Centroid Solutions,broker_tech,"Hong Kong",Software Engineer,https://centroidsol.com/careers,B,,,,,broker_tech,,to_apply,,FX bridge/risk-management tech.,
oneZero Financial,broker_tech,"Cambridge MA / Remote",Software Engineer,https://onezero.com/careers,B,,,,,broker_tech,,to_apply,,Institutional FX trading tech.,
TraderEvolution Global,broker_tech,"Limassol, Cyprus",Software Engineer,https://traderevolution.com/careers,B,,,,,broker_tech,,to_apply,,Multi-asset trading platform.,
Quantower,broker_tech,"Remote",Software Engineer,https://quantower.com/careers,B,,,,,broker_tech,,to_apply,,Multi-broker trading platform. Smaller team.,
FTMO,eu_prop,"Prague, Czech Republic",Software Engineer,https://ftmo.com/careers,A,,,,,eu_prop,,to_apply,,Top prop firm. Your FXpropoptimizer is the pitch.,
FundedNext,eu_prop,"Dubai, UAE",Quant Developer,https://fundednext.com/careers,A,,,,,eu_prop,,to_apply,,You know their rules cold (your MC sim models them).,
The5ers,eu_prop,"Tel Aviv / Remote",Software Engineer,https://the5ers.com/careers,B,,,,,eu_prop,,to_apply,,Mid-tier prop.,
MyFundedFutures,eu_prop,"Remote",Software Engineer,https://myfundedfutures.com/careers,B,,,,,eu_prop,,to_apply,,Futures prop firm.,
Apex Trader Funding,eu_prop,"Austin TX / Remote",Software Engineer,https://apextraderfunding.com/careers,B,,,,,eu_prop,,to_apply,,Futures prop. Smaller team.,
IG Group,eu_prop,"London, UK",Software Engineer,https://iggroup.com/careers,A,,,,,eu_prop,,to_apply,,Major FX/CFD broker. Public co.,
CMC Markets,eu_prop,"London, UK",Software Engineer,https://cmcmarkets.com/careers,A,,,,,eu_prop,,to_apply,,UK FX/CFD broker.,
Saxo Bank,eu_prop,"Copenhagen, Denmark",Software Engineer,https://saxobank.com/careers,A,,,,,eu_prop,,to_apply,,Danish multi-asset broker.,
Pepperstone,eu_prop,"Melbourne / Remote",Software Engineer,https://pepperstone.com/careers,A,,,,,eu_prop,,to_apply,,FX broker. Active hiring.,
Plus500,eu_prop,"Haifa Israel / Remote",Software Engineer,https://plus500.com/careers,B,,,,,eu_prop,,to_apply,,CFD broker. Israel + remote.,
FxPro,eu_prop,"Limassol, Cyprus",Software Engineer,https://fxpro.com/careers,B,,,,,eu_prop,,to_apply,,FX broker. Cyprus hub.,
Flow Traders,eu_prop,"Amsterdam, Netherlands",Software Engineer,https://flowtraders.com/careers,A,,,,,eu_prop,,to_apply,,Top ETF/options MM. Stretch goal.,
Optiver,eu_prop,"Amsterdam, Netherlands",Software Engineer,https://optiver.com/careers,C,,,,,eu_prop,,to_apply,,Top-tier prop. Long shot without credentials.,
IMC Trading,eu_prop,"Amsterdam, Netherlands",Software Engineer,https://imc.com/careers,C,,,,,eu_prop,,to_apply,,Top-tier prop. Long shot.,
DRW,eu_prop,"Chicago / Remote",Software Engineer,https://drw.com/careers,C,,,,,eu_prop,,to_apply,,Top prop. Strong eng culture but high bar.,
Jane Street,eu_prop,"NY / Remote",Software Engineer,https://janestreet.com/careers,C,,,,,eu_prop,,to_apply,,Long shot but worth one targeted application.,
Hudson River Trading,eu_prop,"NY / Remote",Software Engineer,https://hudsonrivertrading.com/careers,C,,,,,eu_prop,,to_apply,,Long shot.,
